race_id,race_number,date_course,horse_id,target_rank,hippodrome,distance,weather_temperature,age,sex,shoeing_status,driver,entraineur,gains_carriere,cote_matin,avg_red_km_last_5,nb_races_last_5,nb_dai_last_5,avg_place_last_5,days_since_last_race,is_debutant
7213,1,2025-09-19,5733,2,CAV,2525,27.0,7,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,Mlle S. BLANCHETIERE,TH. LEMOINE,6686000.0,6.3,7623.333333333333,5,0,3.0,1.0,False
7213,1,2025-09-19,28787,1,CAV,2525,27.0,9,FEMELLES,DEFERRE_ANTERIEURS_POSTERIEURS,Mlle G. AMBROGIO,J. UROZ,7249000.0,1.7,7470.0,5,0,1.2,1.0,False
7213,1,2025-09-19,5811,7,CAV,2525,27.0,9,FEMELLES,DEFERRE_ANTERIEURS_PROTEGE_POSTERIEURS,Mlle M. D'ESPARBES,E. BACHELOT,6805500.0,49.0,7685.0,5,0,6.6,1.0,False
7213,1,2025-09-19,50440,6,CAV,2525,27.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,PH. TERME,N. JULIEN,7807000.0,18.0,7597.5,5,1,5.75,1.0,False
7213,1,2025-09-19,19208,4,CAV,2525,27.0,8,HONGRES,PROTEGE_ANTERIEURS,Mlle S. OYER,S. CINGLAND,7369000.0,9.7,7650.0,5,0,3.0,1.0,False
7213,1,2025-09-19,19238,9,CAV,2525,27.0,6,FEMELLES,,D. PAULEAU,D. PAULEAU,4688500.0,55.0,7655.0,5,0,5.5,1.0,False
7213,1,2025-09-19,50477,8,CAV,2525,27.0,6,FEMELLES,DEFERRE_ANTERIEURS,H. LAKHRISSI,J. UROZ,3406500.0,53.0,7960.0,5,3,8.0,13.0,False
6798,5,2025-09-11,34220,11,ROU,2850,16.0,4,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,C. DEFFAUX,C. DEFFAUX,1471500.0,55.0,7890.0,5,0,3.0,49.0,False
6798,5,2025-09-11,18741,7,ROU,2850,16.0,4,MALES,,PH. TERNISIEN,PH. TERNISIEN,1562500.0,21.0,7645.0,5,2,5.333333333333333,1.0,False
6798,5,2025-09-11,77990,2,ROU,2850,16.0,4,HONGRES,,TH. DROMIGNY,J.R. DELLIAUX,1725000.0,40.0,7733.333333333333,5,1,3.6666666666666665,1.0,False
6798,5,2025-09-11,33765,10,ROU,2850,16.0,4,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,PH. MASSCHAELE,Mme G. MASSCHAELE,1825000.0,25.0,7720.0,5,0,5.5,1.0,False
6798,5,2025-09-11,20876,9,ROU,2850,16.0,4,HONGRES,,B. PITON,B. PITON,1834000.0,98.0,7790.0,3,1,9.0,1.0,False
6798,5,2025-09-11,20837,4,ROU,2850,16.0,4,HONGRES,PROTEGE_ANTERIEURS_POSTERIEURS,M. VERVA,CH. MIRANDEL,1914000.0,22.0,7597.5,5,1,4.5,1.0,False
6798,5,2025-09-11,52213,8,ROU,2850,16.0,4,FEMELLES,DEFERRE_POSTERIEURS,P.Y. VERVA,P.Y. VERVA,1926500.0,10.0,7656.666666666667,5,1,5.5,1.0,False
6798,5,2025-09-11,49485,12,ROU,2850,16.0,4,MALES,,F. DESMIGNEUX,G. LEFEBVRE,2213000.0,69.0,7520.0,5,2,7.0,1.0,False
